Covidence #,Study ID,Title,Reviewer Name,Study ID,Title,Date of publication,Lead author contact details,Link to publication,Notes,How many different databases does the study use?,Database 1: Which country/countries are the clinical data from? ,"Database 1: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 1: If available, link the database / cohort.",Database 1: What kind of data does the database contain (multiple choice): ,Database 1: Are the data publicly available?,Database 1: Is the data collection still ongoing?,Database 2: Which country/countries are the clinical data from? ,"Database 2: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 2: If available, link the database / cohort.",Database 2: What kind of data does the database contain (multiple choice): ,Database 2: Are the data publicly available?,Database 2: Is the data collection still ongoing?,Database 3: Which country/countries are the clinical data from? ,"Database 3: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 3: If available, link the database / cohort.",Database 3: What kind of data does the database contain (multiple choice): ,Database 3: Are the data publicly available?,Database 3: Is the data collection still ongoing?,Database 4: Which country/countries are the clinical data from? ,"Database 4: If the routinely collected data / cohort are explicitly named, please provide the name(s). ","Database 4: If available, link the database / cohort.",Database 4: What kind of data does the database contain (multiple choice): ,Database 4: Are the data publicly available?,Database 4: Is the data collection still ongoing?
347,Cariou 2021,Routine use of statins and increased COVID-19 related mortality in inpatients with type 2 diabetes: Results from the CORONADO study.,Consensus,#347 – Cariou 2021,Routine use of statins and increased COVID-19 related mortality in inpatients with type 2 diabetes: Results from the CORONADO study,19.10.2020,"Bertrand Cariou, bertrand.cariou@univ-nantes.fr",https://doi.org/10.1016/j.diabet.2020.10.001,Only diabetic patients.,1,France,CORONADO Study,https://clinicaltrials.gov/study/NCT04324736?tab=table,Hospital data (electronic health record),No,NI,"","","","","","","","","","","","","","","","","",""
345,Lafaurie 2021,Outcome of patients hospitalized for COVID-19 and exposure to angiotensin-converting enzyme inhibitors and angiotensin-receptor blockers in France: results of the ACE-CoV study.,Consensus,#345 – Lafaurie 2021,Outcome of patients hospitalized for COVID-19 and exposure to angiotensin-converting enzyme inhibitors and angiotensin-receptor blockers in France: results of the ACE-CoV study,28.10.2020,"Margaux Lafauriea
Service de Pharmacologie M edicale, Facult e de M edecine, Centre Hospitalier Universitaire de Toulouse, 37 allées Jules Guesde Toulouse 31000, France
margaux.lafaurie@univ-tlse3.fr",https://doi.org/10.1111/fcp.12613,"",1,France,Covid-Clinic-Toul cohort,https://www.sciencedirect.com/science/article/pii/S0248866320303490,Hospital data (electronic health record),NI,NI,"","","","","","","","","","","","","","","","","",""
342,Roumier 2021,Tocilizumab for Severe Worsening COVID-19 Pneumonia: a Propensity Score Analysis.,Consensus,#342 – Roumier 2021,Tocilizumab for Severe Worsening COVID-19 Pneumonia: a Propensity Score Analysis.,14.11.2020,"Félix Ackermann
f.ackermann@hopital-foch.com",https://pubmed.ncbi.nlm.nih.gov/33188624/,Probably also AP-HP DWH,1,France,NI,NI,Hospital data (electronic health record),No,NI,"","","","","","","","","","","","","","","","","",""
340,Sinha 2021,The Effect of IL-6 Inhibitors on Mortality Among Hospitalized COVID-19 Patients: A Multicenter Study.,Consensus,#340 – Sinha 2021,The Effect of IL-6 Inhibitors on Mortality Among Hospitalized COVID-19 Patients: A Multicenter Study.,20.11.2020,"E. Y. Kissin, MD, 72 E. Newton St, E501, Boston, MA 02118 (eukissin@bu.edu)",https://pubmed.ncbi.nlm.nih.gov/33216906/,manually abstracted data from EHR into study database once. Not ongoing. Would drop.,1,USA,NI,NI,Hospital data (electronic health record),NI,No,"","","","","","","","","","","","","","","","","",""
337,Tran 2021,Corticosteroids in patients hospitalized for COVID-19 pneumonia who require oxygen: observational comparative study using routine care data.,Consensus,#337 – Tran 2021,Corticosteroids in patients hospitalized for COVID-19 pneumonia who require oxygen: observational comparative study using routine care data.,08.12.2020,"François-Xavier Lescure, Service de Maladies Infectieuses et Tropicales, Hopital Bichat, Assistance Publique Hopitaux de Paris
E-mail address: xavier.lescure@aphp.fr",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7722522/,Physicians retrospectively performed patient by patient screening.,1,France; Other: Luxembourg,"REACTing (the network, not the database)",https://www.iame-research.center/associated-organisations/reacting-2/,Hospital data (electronic health record),No,No,"","","","","","","","","","","","","","","","","",""
334,Mendizabal 2021,Prospective Latin American cohort evaluating outcomes of patients with COVID-19 and abnormal liver tests on admission.,Consensus,#334 – Mendizabal 2021,Prospective Latin American cohort evaluating outcomes of patients with COVID-19 and abnormal liver tests on admission.,07.01.2021,mmendiza@cas.austral.edu.ar (M. Mendizabal),https://doi.org/10.1016/j.aohep.2020.100298,"",1,"Other: Latin America: Argentina, Brazil, Chile, Colombia, Dominican Republic, Ecuador, Guatemala, Mexico, Paraguay, Peru, Uruguay",COVID-ALEH Registry,https://clinicaltrials.gov/study/NCT04358380,Hospital data (electronic health record),NI,NI,"","","","","","","","","","","","","","","","","",""
331,Andersen 2021,Association Between Chronic Use of Immunosuppresive Drugs and Clinical Outcomes From Coronavirus Disease 2019 (COVID-19) Hospitalization: A Retrospective Cohort Study in a Large US Health System.,Consensus,#331 – Andersen 2021,Association Between Chronic Use of Immunosuppresive Drugs and Clinical Outcomes From Coronavirus Disease 2019 (COVID-19) Hospitalization: A Retrospective Cohort Study in a Large US Health System,01.12.2021,"Correspondence: G. C. Alexander, Johns Hopkins Bloomberg School of Public Health, Department of Epidemiology, 615 N Wolfe Street, W6035, Baltimore, MD 21205 (galexan9@jhmi.edu).",https://doi.org/10.1093/cid/ciaa1488,"",1,USA, Johns Hopkins CROWN Registry,https://ictr.johnshopkins.edu/covid-research-center/review-committees/cadre/,Hospital data (electronic health record),No,NI,"","","","","","","","","","","","","","","","","",""
329,DiCastelnuovo 2021,Heparin in COVID-19 Patients Is Associated with Reduced In-Hospital Mortality: The Multicenter Italian CORIST Study.,Consensus,#329 – DiCastelnuovo 2021,Heparin in COVID-19 Patients Is Associated with Reduced In-Hospital Mortality: The Multicenter Italian CORIST Study,07.01.2021,"Licia Iacoviello, MD, PhD, Department of Epidemiology and Prevention, IRCCS Neuromed, Via dell’Elettronica, 86077 Pozzilli, Isernia, Italy (e-mail: licia.iacoviello@moli-sani.org)",https://doi.org/10.1055/a-1347-6070,"",1,Other: Italy,CORIST Collaboration,https://www.ahajournals.org/doi/10.1161/HYPERTENSIONAHA.120.15370,Hospital data (electronic health record),NI,NI,"","","","","","","","","","","","","","","","","",""
324,Roussel 2021,Use of dipeptidyl peptidase-4 inhibitors and prognosis of COVID-19 in hospitalized patients with type 2 diabetes: A propensity score analysis from the CORONADO study.,Consensus,#324 – Roussel 2021,Use of dipeptidyl peptidase-4 inhibitors and prognosis of COVID-19 in hospitalized patients with type 2 diabetes: A propensity score analysis from the CORONADO study,02.02.2021,"bertrand.cariou@univ-nantes.fr
Bertrand Cariou, Department of Endocrinology, Diabetology and Nutrition, l'institut du thorax, CHU Nantes, Hôpital Guillaume et René Laennec, 44093 Nantes Cedex 01, France",https://doi.org/10.1111/dom.14324,"",1,France,CORONADO Study,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
323,Hoertel 2021,Association between antidepressant use and reduced risk of intubation or death in hospitalized patients with COVID-19: results from an observational study.,Consensus,#323 – Hoertel 2021,Association between antidepressant use and reduced risk of intubation or death in hospitalized patients with COVID-19: results from an observational study,04.02.2021,"Nicolas Hoertel, nico.hoertel@yahoo.fr",https://doi.org/10.1038/s41380-021-01021-4,"",1,France,AP-HP Data Warehouse,https://eds.aphp.fr/nos-services/recherche-innovation,Hospital data (electronic health record),No,Yes,"","","","","","","","","","","","","","","","","",""
322,Rentsch 2021,Early initiation of prophylactic anticoagulation for prevention of coronavirus disease 2019 mortality in patients admitted to hospital in the United States: cohort study.,Consensus,#322 – Rentsch 2021,Early initiation of prophylactic anticoagulation for prevention of coronavirus disease 2019 mortality in patients admitted to hospital in the United States: cohort study.,11.02.2021,C T Rentsch christopher.rentsch@lshtm.ac.uk (or @darthctr on Twitter),https://www.bmj.com/content/372/bmj.n311,"",1,USA,"Department of Veterans Health
Administration (VHA) healthcare system","","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
313,Lalau 2021,Metformin use is associated with a reduced risk of mortality in patients with diabetes hospitalised for COVID-19.,Consensus,#313 – Lalau 2021,"Metformin use is associated with a reduced risk of mortality in patients
with diabetes hospitalised for COVID-19",10.12.2020,"Lalau.Jean-Daniel@chu-amiens.fr (J.-D. Lalau), Al-Salameh.Abdallah@chu-amiens.fr (A. Al-Salameh)",https://doi.org/10.1016/j.diabet.2020.101216,"",1,France,CORONADO Study,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
310,deHavenon 2021,Impact of COVID-19 on Outcomes in Ischemic Stroke Patients in the United States.,Consensus,#310 – deHavenon 2021,Impact of COVID-19 on Outcomes in Ischemic Stroke Patients in the United States.,09.12.2020,"Department of Neurology, University of Utah, 175 N. Medical Dr, Salt Lake City, UT 84132, United States
adam.dehavenon@hsc.utah.edu",https://doi.org/10.1016/j.jstrokecerebrovasdis.2020.105535,"Requests from qualified researchers trained in human
subject confidentiality protocols to access the dataset
used in this study may be sent to Vizient at
vizientsupport@vizientinc.com.",1,USA,Vizient Clinical Data Base® (CDB),https://www.vizientinc.com/what-we-do/operations-and-quality/clinical-data-base,Insurance/claims data (prescription data),No,Yes,"","","","","","","","","","","","","","","","","",""
307,Hoertel 2021,Observational study of haloperidol in hospitalized patients with COVID-19.,Consensus,#307 – Hoertel 2021,"Observational study of haloperidol in
hospitalized patients with COVID-19",19.02.2021,"Marina Sanchez-Rico
De´partement de Psychiatrie, Hoˆpital Corentin-Celton, Centre Universite´ de Paris, AP-HP, Issy-les-
Moulineaux, France
marinals@ucm.es",https://doi.org/10.1371/journal.pone.0247122 ,"",1,France,AP-HP Data Warehouse,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
306,Hill 2021,"Tocilizumab in hospitalized patients with COVID-19: Clinical outcomes, inflammatory marker kinetics, and safety.",Consensus,#306 – Hill 2021,"Tocilizumab in hospitalized patients with COVID‐19: Clinical outcomes, inflammatory marker kinetics, and safety",17.11.2020,"Correspondence Joshua A. Hill, Fred Hutchinson Cancer Research Center and University of Washington, 1100 Fairview Ave N, Mail Stop E-400, Seattle, WA 98109.",https://onlinelibrary.wiley.com/doi/10.1002/jmv.26674,"",1,USA,University of Washington (UW) Enterprise Data Warehouse,https://itconnect.uw.edu/tools-services-support/data-reporting/data/enterprise-data-warehouse/,Hospital data (electronic health record),No,Yes,"","","","","","","","","","","","","","","","","",""
300,Pelton 2021,A retrospective cohort study assessing relative effectiveness of adjuvanted versus high-dose trivalent influenza vaccines among older adults in the United States during the 2018-19 influenza season.,Consensus,#300 – Pelton 2021,A retrospective cohort study assessing relative effectiveness of adjuvanted versus high-dose trivalent influenza vaccines among older adults in the United States during the 2018-19 influenza season.,30.03.2021,"Global Pricing & Health Economics Director, Seqirus Vaccines Ltd, 25 Deforest Avenue, Summit, NJ 07901, USA. Joaquin.Mould-Quevedo@seqirus.com",https://doi.org/10.1016/j.vaccine.2021.03.054,"",1,USA; Other: worldwide,IQVIA databases,https://www.iqvia.com/solutions/real-world-evidence/real-world-data-and-insights#HealthDataCatalog,Hospital data (electronic health record); Insurance/claims data (prescription data),No,Yes,"","","","","","","","","","","","","","","","","",""
299,Gallay 2021,Fourteen-day survival among older adults with severe infection with severe acute respiratory syndrome coronavirus 2 treated with corticosteroid: a cohort study.,Consensus,"#299 - Gallay et al, 2021",Fourteen-day survival among older adults with severe infection with severe acute respiratory syndrome coronavirus 2 treated with corticosteroid: a cohort study,02.04.2021,"Francois-Xavier Lescure, Service de maladies infectieuses et tropicales, Hopital Bichat, Assistance Publique Hopitaux de Paris, 75018, Paris, France. E-mail address: xavier.lescure@aphp.fr",https://doi.org/10.1016/j.cmi.2021.03.021,EHR abstracted into study database from 36 hospitals once. Very unclear from publication.,1,France,NI,NI,Hospital data (electronic health record),No,NI,"","","","","","","","","","","","","","","","","",""
296,Gault 2021,Chronic use of renin-angiotensin-aldosterone system blockers and mortality in COVID-19: A multicenter prospective cohort and literature review.,Consensus,#296 – Gault 2021,Chronic use of renin-angiotensin-aldosterone system blockers and mortality in COVID-19: A multicenter prospective cohort and literature review.,20.04.2021,"Nathalie Gault, INSERM CIC-EC 1425, Hôpital Bichat, 46 rue Henri Huchard, 75018 Paris

Email: nathalie.gault@aphp.fr",https://doi.org/10.1111/fcp.12683,Available through Orchestra?,1,France,French COVID Cohort,"https://clinicaltrials.gov/study/NCT04262921
https://orchestra-cohort.eu/cohort-statistics/",Hospital data (electronic health record); Disease specific network (cohort study),Yes,Yes,"","","","","","","","","","","","","","","","","",""
287,Butler-Laporte 2021,Vitamin D and COVID-19 susceptibility and severity in the COVID-19 Host Genetics Initiative: A Mendelian randomization study.,Consensus,#287 – Butler-Laporte 2021,Vitamin D and COVID-19 susceptibility and severity in the COVID-19 Host Genetics Initiative: A Mendelian randomization study.,01.06.2021,brent.richards@mcgill.ca, https://doi.org/10.1371/journal.pmed.1003605,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
283,Vaughn 2021,Trends in Venous Thromboembolism Anticoagulation in Patients Hospitalized With COVID-19.,Consensus,"#283 - Vaughn et al, 20021",Trends in Venous Thromboembolism Anticoagulation in Patients Hospitalized With COVID-19,11.06.2021,"Valerie M. Vaughn, MD, MSc, Assistant Professor of Medicine, Division of General Internal Medicine, University of Utah, 30 N 1900 E, Room 5R218, Salt Lake City, UT 84132 (ude.hatu.csh@nhguav.eirelav).",https://pubmed.ncbi.nlm.nih.gov/34115129/,"https://www.mi-hms.org/quality-initiatives/mi-covid19-
initiative-retired",1,USA,Mi-COVID19 Initiative,https://www.mi-hms.org/quality-initiatives/mi-covid19-initiative-retired,Hospital data (electronic health record),No,No,"","","","","","","","","","","","","","","","","",""
278,Cho 2021,Early Convalescent Plasma Therapy and Mortality Among US Veterans Hospitalized With Nonsevere COVID-19: An Observational Analysis Emulating a Target Trial.,Consensus,#278 – Cho 2021,Early Convalescent Plasma Therapy and Mortality Among US Veterans Hospitalized With Nonsevere COVID-19: An Observational Analysis Emulating a Target Trial.,21.06.2021," Kelly Cho, PhD, VA Boston Healthcare System, 150 S. Huntington Avenue, 
Boston, MA 02130 (Kelly.Cho@va.gov).",https://doi.org/10.1093/infdis/jiab330,"",1,USA,"Department of Veterans Health
Administration (VHA) healthcare system","","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
277,Cui 2021,"Using genetic variants to evaluate the causal effect of serum vitamin D concentration on COVID-19 susceptibility, severity and hospitalization traits: a Mendelian randomization study.",Consensus,#277 – Cui 2021,"Using genetic variants to evaluate the causal effect of serum vitamin D concentration on COVID-19 susceptibility, severity and hospitalization traits: a Mendelian randomization study.",10.07.2021, tiany@bjmu.edu.cn,https://pubmed.ncbi.nlm.nih.gov/34246301/,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
276,Recalde 2021,"Characteristics and outcomes of 627 044 COVID-19 patients living with and without obesity in the United States, Spain, and the United Kingdom.",Consensus,#276 – Recalde 2021,"Characteristics and outcomes of 627 044 COVID-19 patients living with and without obesity in the United States, Spain, and the United Kingdom",15.07.2021,"Talita Duarte-Salles

Fundació Institut Universitari per a la recerca a l’Atenció Primària de Salut Jordi Gol i Gurina (IDIAPJGol), Barcelona, Spain
tduarte@idiapjgol.org",https://www.nature.com/articles/s41366-021-00893-4,"- Two other data sources:
-- Stanford Medicine Research Data Repository (STARR-OMOP) (http://arxiv.org/abs/2003.10534)
-- IQVIA Open Claims",Other: 6,Spain,System for Research in Primary Care (SIDIAP),NI,Hospital data (electronic health record); Other: Outpatient data,NI,NI,UK,Clinical Practice Research Datalink (CPRD),https://www.cprd.com/,Other: Outpatient,No,Yes,USA,New York-Presbyterian Columbia University Irving Medical Center (NYP-CUIMC) data warehouse,NI,Hospital data (electronic health record),NI,NI,USA,United States Department of Veterans Affairs (VA-OMOP),"",Hospital data (electronic health record),No,Yes
273,Zhu 2021,Characteristics and outcomes of hospitalised adults with COVID-19 in a Global Health Research Network: a cohort study.,Consensus,#273 – Zhu 2021,Characteristics and outcomes of hospitalised adults with COVID-19 in a Global Health Research Network: a cohort study.,06.08.2021,Dr Ying Bao; ying.bao@bms.com,https://bmjopen.bmj.com/content/11/8/e051588,"",1,Other: Global,TriNetX database,https://trinetx.com/solutions/real-world-datasets/#s_2,Hospital data (electronic health record); Other: Outpatient?,No,Yes,"","","","","","","","","","","","","","","","","",""
272,Hara 2021,Evaluation of the efficacy of anticoagulation therapy in reducing mortality in a nationwide cohort of hospitalized patients with coronavirus disease in Japan.,Consensus,#272 – Hara 2021,Evaluation of the efficacy of anticoagulation therapy in reducing mortality in a nationwide cohort of hospitalized patients with coronavirus disease in Japan,10.09.2021,"Department of Cardiology, National Centre for Global Health and Medicine, 1-12-1 Toyama Shinjuku-ku, Tokyo 162-8655, Japan. Tel.: +81 3 3202 7181; fax: +81 3 3202 7364. E-mail address: hhara@hosp.ncgm.go.jp (H. Hara)",https://doi.org/10.1016/j.ijid.2021.09.014,Site translated with google translate. Looks like only participating sites can use data.,1,Japan,COVIREGI-JP,"https://rebind.ncgm.go.jp/coviregi/
https://academic.oup.com/cid/article/73/11/e3677/5912544",Hospital data (electronic health record); Disease specific network (cohort study),No,Yes,"","","","","","","","","","","","","","","","","",""
268,Baek 2021,COVID-19-related outcomes in immunocompromised patients: A nationwide study in Korea.,Consensus,#268 – Baek 2021,COVID-19-related outcomes in immunocompromised patients: A nationwide study in Korea.,01.10.2021,"Sun-Young JungI
* E-mail: jsyoung@cau.ac.kr
College of Pharmacy, Chung-Ang University, Seoul, Republic of Korea, Department of Global Innovative Drugs, Graduate School of Chung-Ang University, Seoul, Republic of Korea",https://doi.org/10.1371/journal.pone.0257641,Can't find the publicaly released data.,1,South Korea,Health Insurance Review and Assessment Service (HIRA) database,hira-covid19.net is offline.,Insurance/claims data (prescription data),Yes,NI,"","","","","","","","","","","","","","","","","",""
264,Yoshikawa 2021,Estimating causal effects of atherogenic lipid-related traits on COVID-19 susceptibility and severity using a two-sample Mendelian randomization approach.,Consensus,#264 – Yoshikawa 2021,Estimating causal effects of atherogenic lipid-related traits on COVID-19 susceptibility and severity using a two-sample Mendelian randomization approach.,13.11.2021,"myosh-tky@umin.ac.jp
1 Division of Laboratory Medicine, Department of Pathology 
and Microbiology, Nihon University School of Medicine, Tokyo, Japan",https://pubmed.ncbi.nlm.nih.gov/34774031/,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","","","","","","","","",""
263,Gervasi 2021,"Metabolic syndrome and risk of COVID-19-related hospitalization: a large, population-based cohort study carried out during the first European outbreak of SARS-CoV-2 infection in the Metropolitan area of Milan (Lombardy Region, Northern Italy).",Consensus,#263 – Gervasi 2021,"Metabolic syndrome and risk of COVID-19-related hospitalization: a large, population-based cohort study carried out during the first European outbreak of SARS-CoV-2 infection in the Metropolitan area of Milan (Lombardy Region, Northern Italy).",12.01.2022,Antonio Giampiero Russo; agrusso@ats-milano.it,https://pubmed.ncbi.nlm.nih.gov/34791868/,"Register on comobordities, but I don't think they have in
hospital data",1,Other: Italy,Agency for Health Protection (AHP) of Milan,NI,"National registries (e.g. death registry, cancer registry, etc.)",No,NI,"","","","","","","","","","","","","","","","","",""
259,Jian 2021,Genetically Predicted Higher Educational Attainment Decreases the Risk of COVID-19 Susceptibility and Severity: A Mendelian Randomization Study.,Consensus,#259 – Jian 2021,Genetically Predicted Higher Educational Attainment Decreases the Risk of COVID-19 Susceptibility and Severity: A Mendelian Randomization Study,23.12.2021,"Xin Wei
weixinscu@scu.edu.cn
Xi Jin
Jancy_king@hotmail.com",https://pubmed.ncbi.nlm.nih.gov/35004565/,"",1,"",See Covid 19 HGI,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
256,Bowe 2021,Kidney Outcomes in Long COVID.,Consensus,#256 – Bowe 2021,Kidney Outcomes in Long COVID.,15.11.2021," Dr. Ziyad Al-Aly, Veterans Affairs Saint Louis Health Care System, 915 North Grand Boulevard, 151-JC, Saint Louis, MO 63106. Email: zalaly@gmail.com", https://doi.org/10.1681/ASN.2021060734,"",1,USA,Department of Veterans Health Administration (VHA) healthcare system Data Warehouse,https://virec.research.va.gov/Non-VA-Researchers/Info_for_NonVA_Researchers.pdf,Hospital data (electronic health record),No,Yes,"","","","","","","","","","","","","","","","","",""
253,Pan 2021,"Angiotensin-Converting Enzyme Inhibitors, Angiotensin II Receptor Blockers, and Outcomes in Patients Hospitalized for COVID-19.",Consensus,#253 – Pan 2021,"Angiotensin-Converting Enzyme Inhibitors, Angiotensin II Receptor Blockers, and Outcomes in Patients Hospitalized for COVID-19.",21.12.2021,"Salim S. Hayek, MD, Division of Cardiology, Department of Medicine, University of Michigan Frankel Cardiovascular Center, 1500 E Medical Center Dr, CVC #2709, Ann Arbor, MI 48109. E‐mail: ude.hcimu.dem@keyahs",https://pubmed.ncbi.nlm.nih.gov/34889102/,"",1,Other: International,International Study of Inflammation in COVID‐19,"https://clinicaltrials.gov/study/NCT04818866

https://hayek.lab.medicine.umich.edu/research/covid19",Hospital data (electronic health record),NI,No,"","","","",Other: ,Other: ,"","","","","","","","","","","",""
244,Kuno 2022,The association of hemoglobin drop with in-hospital outcomes in COVID-19 patients.,Consensus,#244 – Kuno 2022,The association of hemoglobin drop with in-hospital outcomes in COVID-19 patients.,01.10.2021,"Dr T. Kuno, MD, PhD, Division of Cardiology, Montefiore Medical Center, Albert Einsten College of Medicine, 111 East 210th St,
New York, 10467-2401, USA. email: tkuno@montefiore.org",doi.org/10.1093/qjmed/hcab251,"",1,USA,Mout Sinai Health System Data Warehouse,https://labs.icahn.mssm.edu/msdw/data-sources/,Hospital data (electronic health record),No,Yes,"","","","","","","","","","","","","","","","","",""
241,Tachiwada 2022,Effects of additive corticosteroid therapy on 90-day survival in patients with community-onset pneumonia.,Consensus,#241 – Tachiwada 2022,Effects of additive corticosteroid therapy on 90-day survival in patients with community-onset pneumonia.,23.12.2021,"E-mail addresses: tachiwada-t@med.uoeh-u.ac.jp (T. Tachiwada), sn0920@med.uoeh-u.ac.jp (S. Noguchi), km@med.uoeh-u.ac.jp (K. Muramatsu), kentarouakata@med.uoeh-u.ac.jp (K. Akata), yamasaki@med.uoeh-u.ac.jp (K. Yamasaki), t-asakawa@med.uoeh-u.ac.jp (T. Asakawa), zenq@med.uoeh-u.ac.jp (Y. Fujino), kfushimi.hci@tmd.ac.jp (K. Fushimi), smatsuda@med.uoeh-u.ac.jp (S. Matsuda), hmukae@nagasaki-u.ac.jp (H. Mukae), yatera@med.uoeh-u.ac.jp (K. Yatera)",https://doi.org/10.1016/j.jiac.2021.12.012,"",1,Japan,Diagnosis Procedure Combination database,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
240,Sullerot 2022,Premorbid aspirin use is not associated with lower mortality in older inpatients with SARS-CoV-2 pneumonia.,Consensus,#240 – Sullerot 2022,Premorbid aspirin use is not associated with lower mortality in older inpatients with SARS-CoV-2 pneumonia.,07.01.2022,"Service de Médecine Interne Gériatrie, Hôpital de 
Champmaillot CHU, 21079 Dijon Cedex, France
e-mail: alain.putot@chu-dijon.fr
",https://doi.org/10.1007/s11357-021-00499-8,Manual abstraction from hospital data into study database,1,France; Other: Switzerland,NI,NI,Hospital data (electronic health record),NI,NI,"","","","","","","","","","","","","","","","","",""
233,Takahashi 2022,"Hospital factor and prognosis of COVID-19 in New York City, the United States of America: insights from a retrospective cohort study.",Consensus,#233 – Takahashi 2022,"Hospital factor and prognosis of COVID-19 in New York City, the United States of America: insights from a retrospective cohort study",08 Feb 2022,"Department of Cardiology, Montefiore Medical Center,
Albert Einstein Medical College, 111 East 210th St, Bronx, NY 10467–2401, USA.
E-mail address: kuno-toshiki@hotmail.co.jp",https://doi.org/10.1186/s12913-022-07570-w,"",1,USA,Mout Sinai Health System Data Warehouse,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
232,Xiong 2022,Safety of Inactivated and mRNA COVID-19 Vaccination Among Patients Treated for Hypothyroidism: A Population-Based Cohort Study.,Consensus,#232 – Xiong 2022,Safety of Inactivated and mRNA COVID-19 Vaccination Among Patients Treated for Hypothyroidism: A Population-Based Cohort Study.,17.05.2022,"Ian Chi Kei Wong

Centre for Safe Medication Practice and Research, Department of Pharmacology and Pharmacy, Li Ka Shing Faculty of Medicine, The University of Hong Kong, Hong Kong SAR, China.

wongick@hku.hk",https://pubmed.ncbi.nlm.nih.gov/35216517/,"",1,Other: Hong Kong, Hong Kong Hospital Authority (HA),NI,"Hospital data (electronic health record); National registries (e.g. death registry, cancer registry, etc.)",No,NI,"","","","","","","","","","","","","","","","","",""
230,Huang 2022,Association Between Dexamethasone Treatment After Hospital Discharge for Patients With COVID-19 Infection and Rates of Hospital Readmission and Mortality.,Consensus,#230 – Huang 2022,Association Between Dexamethasone Treatment After Hospital Discharge for Patients With COVID-19 Infection and Rates of Hospital Readmission and Mortality.,08.03.2022,"Cheng-Wei Huang, MD, Department of Hospital Medicine, Kaiser Permanente Los Angeles Medical Center, 4867 W Sunset Blvd, 6th Flr, Los Angeles, CA 90027 (gro.pk@gnauh.iew-gnehc).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8905383/,"",1,USA,Kaiser Permanente Southern California (KPSC),"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
227,Xie 2022,Risks and burdens of incident diabetes in long COVID: a cohort study.,Consensus,#227 – Xie 2022,Risks and burdens of incident diabetes in long COVID: a cohort study.,21.03.2022,"Dr Ziyad Al-Aly, Clinical 
Epidemiology Center, and 
Development Service, 
VA Saint Louis Health Care 
System, Saint Louis, MO 63011, 
USA
ziyad.alaly@va.gov",https://doi.org/10.1016/S2213-8587(22)00044-4,"",1,USA,"Department of Veterans Health
Administration (VHA) healthcare system","","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
224,Baranova 2022,Causal Association and Shared Genetics Between Asthma and COVID-19.,Consensus,#224 – Baranova 2022,"Causal Association and Shared
Genetics Between Asthma and
COVID-19",21.03.2022,"Fuquan Zhang
zhangfq@njmu.edu.cn",https://pubmed.ncbi.nlm.nih.gov/35386719/,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","","","","","","","","","","","","","","",""
222,Qu 2022,Mendelian randomization study of obesity and type 2 diabetes in hospitalized COVID-19 patients.,Consensus,#222 – Qu 2022,Mendelian randomization study of obesity and type 2 diabetes in hospitalized COVID-19 patients.,29.01.2022,"Center for Applied Genomics, 3615 Civic Center Blvd, Abramson Building, Philadelphia, PA 19104, USA. hakonarson@email.chop.edu",https://doi.org/10.1016/j.metabol.2022.155156,"",1,"",Covid HGI,"","",Other: ,Other: ,"","","","",Other: ,Other: ,"","","","","","","","","","","",""
219,Frohlich 2022,Hospital outcomes of community-acquired COVID-19 versus influenza: Insights from the Swiss hospital-based surveillance of influenza and COVID-19.,Consensus,#219 – Frohlich 2022,Hospital outcomes of community-acquired COVID-19 versus influenza: Insights from the Swiss hospital-based surveillance of influenza and COVID-19.,06.01.2022, Rami Sommerstein (rami.sommerstein@hirslanden.ch),https://pubmed.ncbi.nlm.nih.gov/34991775/,"Until December 31st 2023, the responsibility for ensuring
access to the data was held by the ISG, in accordance
with the provisions of a study protocol and a study
agreement signed by all participating entities and
approved by the Swissethics Comitees. From January 1
onward, the FOPH assumed this responsibility. Therefore,
any requests for data access should be sent directly to
them at the email address mt.data@bag.admin.ch.",1,Other: Switzerland,Hospital-based surveillance of COVID-19 and influenza cases in Switzerland,https://www.unige.ch/medecine/hospital-covid/,Hospital data (electronic health record),NI,Yes,"","","","","","","","","","","","","","","","","",""
