record_id,name,name_contact_person_db,email_contact_person_db,link_contact_form,country,datatype,ongoing,link,type_ehr,type_insurance_claims,type_dz_cohort,type_national_registry,type_other,pub_title_1,pub_title_2,pub_title_3,pub_title_4,pub_title_5,pub_title_6,pub_title_7,pub_title_8,pub_title_9,pub_title_10,pub_title_11,pub_title_12,pub_title_13,pub_title_14,pub_title_15,pub_title_16,pub_title_17,pub_title_18,pub_title_19,author_contact_1,author_contact_2,author_contact_3,author_contact_4,author_contact_5,author_contact_6,author_contact_7,author_contact_8,author_contact_9,author_contact_10,author_contact_11,author_contact_12,author_contact_13,author_contact_14,author_contact_15,author_contact_16,author_contact_17,author_contact_18,author_contact_19,data_dictionary,data_dictionary_link
26,Hospitalized Adult Influenza Vaccine Effectiveness Network (HAIVEN),J. M. Ferdinands,ferdinands@cdc.gov,NA,USA,Hospital data (electronic health record),2,https://www.cdc.gov/flu/vaccines-work/haiven.html,1,0,0,0,NA,"Vaccine Effectiveness against Influenza-Associated Hospitalizations among Adults, 2018-2019, US Hospitalized Adult Influenza Vaccine Effectiveness Network",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Jill M. Ferdinands, PhD, Centers for Disease Control and Prevention, 1600 
Clifton Rd NE, MS A-32, Atlanta, GA 30333, USA (jferdinands@cdc.gov).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
27,IQVIA databases,NA,NA,NA,USA; Other: worldwide,Hospital data (electronic health record); Insurance/claims data (prescription data),1,https://www.iqvia.com/solutions/real-world-evidence/real-world-data-and-insights#HealthDataCatalog,1,1,0,0,NA,A retrospective cohort study assessing relative effectiveness of adjuvanted versus high-dose trivalent influenza vaccines among older adults in the United States during the 2018-19 influenza season.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Global Pricing & Health Economics Director, Seqirus Vaccines Ltd, 25 Deforest Avenue, Summit, NJ 07901, USA. Joaquin.Mould-Quevedo@seqirus.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
28,ISACS-COVID-19,NA,gsc@isaric.org,NA,Other: Europe,Hospital data (electronic health record),3,https://clinicaltrials.gov/study/NCT05188612,1,0,0,0,NA,Sex differences and disparities in cardiovascular outcomes of COVID-19.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Department of Medical and Surgical Sciences, University of Bologna, Padiglione 11, Via Massarenti 9, 40138 Bologna, Italy
Corresponding author. Tel: +39 051347290; fax: +39 051347290, E-mail: raffaele.bugiardini@unibo.it",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
29,ISARIC WHO CCP-UK,NA,gsc@isaric.org,NA,UK,Hospital data (electronic health record); Disease specific network (cohort study),3,"https://www.bmj.com/content/369/bmj.m1985
",1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
30,International Study of Inflammation in COVID‐19,Penney Blakely Kunkle,penegonz@med.umich.edu,NA,Other: International,Hospital data (electronic health record),2,"https://clinicaltrials.gov/study/NCT04818866

https://hayek.lab.medicine.umich.edu/research/covid19",1,0,0,0,NA,"Angiotensin-Converting Enzyme Inhibitors, Angiotensin II Receptor Blockers, and Outcomes in Patients Hospitalized for COVID-19.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salim S. Hayek, MD, Division of Cardiology, Department of Medicine, University of Michigan Frankel Cardiovascular Center, 1500 E Medical Center Dr, CVC #2709, Ann Arbor, MI 48109. E‐mail: ude.hcimu.dem@keyahs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
31,J-RECOVER study group,NA,NA,NA,Japan,Hospital data (electronic health record),3,https://www.jstage.jst.go.jp/article/ace/4/3/4_22012/_article,1,0,0,0,NA,Early intubation and decreased in-hospital mortality in patients with coronavirus disease 2019.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ryo.yamamoto@gmail.com
Ryo Yamamoto
Department of Emergency and Critical Care Medicine, Keio University 
School of Medicine, 35 Shinanomachi, Shinjuku, Tokyo 160-8582, Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
32,Johns Hopkins CROWN Registry,NA,ICTR_navigators@jhmi.edu,NA,USA,Hospital data (electronic health record),3,https://ictr.johnshopkins.edu/covid-research-center/review-committees/cadre/,1,0,0,0,NA,Association Between Chronic Use of Immunosuppresive Drugs and Clinical Outcomes From Coronavirus Disease 2019 (COVID-19) Hospitalization: A Retrospective Cohort Study in a Large US Health System.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Correspondence: G. C. Alexander, Johns Hopkins Bloomberg School of Public Health, Department of Epidemiology, 615 N Wolfe Street, W6035, Baltimore, MD 21205 (galexan9@jhmi.edu).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,https://ictr.johnshopkins.edu/covid-research-center/registry-dashboard/jh-crown/
33,"KPNC Virtual Data Warehouse on exposures, outcomes, and covariates of interest",NA,NA,https://divisionofresearch.kaiserpermanente.org/about/contact-us/,USA,Hospital data (electronic health record),1,NA,1,0,0,0,NA,Anakinra or high-dose corticosteroids in COVID-19 pneumonia patients who deteriorate on low-dose dexamethasone: an observational study of comparative effectiveness.,High-dose corticosteroids in patients hospitalized for COVID-19 pneumonia: an observational study of comparative effectiveness.,The impact of timing of initiating invasive mechanical ventilation in COVID-19-related respiratory failure.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Annette Langer-Gould, Southern California Permanente Medical Group, Neurology Department, Los Angeles Medical Center, 1505 N Edgemont, 5th Floor, Los Angeles, CA 90027.","Annette Langer-Gould, Southern California Permanente Medical Group, Neurology Department, Los Angeles Medical Center, 1505 N Edgemont, 5th Floor, Los Angeles, CA 90027","Kaiser Permanente Northern California Division of Research, 2000 Broadway, Oakland, CA 94612, United States of America. E-mail address: laura.c.myers@kp.org (L.C. Myers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
34,Kaiser Permanente Southern California (KPSC),NA,NA,NA,USA,Hospital data (electronic health record),1,https://www.kp-scalresearch.org/aboutus/resources-capabilities/information-and-data-resources/,1,0,0,0,NA,Safety of Influenza Vaccination Administered During Hospitalization.,Association Between Dexamethasone Treatment After Hospital Discharge for Patients With COVID-19 Infection and Rates of Hospital Readmission and Mortality.,Anakinra or high-dose corticosteroids in COVID-19 pneumonia patients who deteriorate on low-dose dexamethasone: an observational study of comparative effectiveness.,High-dose corticosteroids in patients hospitalized for COVID-19 pneumonia: an observational study of comparative effectiveness.,The impact of timing of initiating invasive mechanical ventilation in COVID-19-related respiratory failure.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sara Y. Tartof, PhD, MPH, Department of Research and Evaluation, Kaiser Permanente Southern California, 100 S Los Robles, 2nd Floor, Pasadena, CA 91101 (sara.y.tartof@kp.org)","Cheng-Wei Huang, MD, Department of Hospital Medicine, Kaiser Permanente Los Angeles Medical Center, 4867 W Sunset Blvd, 6th Flr, Los Angeles, CA 90027 (gro.pk@gnauh.iew-gnehc).","Annette Langer-Gould, Southern California Permanente Medical Group, Neurology Department, Los Angeles Medical Center, 1505 N Edgemont, 5th Floor, Los Angeles, CA 90027.","Annette Langer-Gould, Southern California Permanente Medical Group, Neurology Department, Los Angeles Medical Center, 1505 N Edgemont, 5th Floor, Los Angeles, CA 90027","Kaiser Permanente Northern California Division of Research, 2000 Broadway, Oakland, CA 94612, United States of America. E-mail address: laura.c.myers@kp.org (L.C. Myers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
35,Khorshid COVID Cohort (KCC),NA,NA,NA,NA,NA,3,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
36,Korean National Health Insurance Service (NHIS) database,Call Center English Consultant · 033-811-2000 (Overseas: 82-33-811-2001) https://www.nhis.or.kr,NA,NA,South Korea,Insurance/claims data (prescription data),1,NA,0,1,0,0,NA,Cardiovascular outcomes between COVID-19 and non-COVID-19 pneumonia: a nationwide cohort study.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sun‑Young Jung - jsyoung@cau.ac.kr, Won‑Young Kim - wykim81@cau.ac.k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
37,MGH Covid-19 Data Registry,Riccardo Pinciroli,rpinciroli@mgh.harvard.edu,NA,USA,Hospital data (electronic health record),3,https://rc.partners.org/about/projects-initiatives/new-covid-19-research-tools-researchers/covid-19-external-data-sets,1,0,0,0,NA,Association of Statins and 28-Day Mortality Rates in Patients Hospitalized With Severe Acute Respiratory Syndrome Coronavirus 2 Infection.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Patricia P. Bloom, Division of Gastroenterology and Hepatology, Department 
of Internal Medicine, 1500 E Medical Center Dr, Ann Arbor, MI 48104 (ppbloom@med.umich.edu).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
38,MarketScan Medicare Supplemental,NA,NA,Redivis • Contact,NA,NA,3,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
39,Medicare,ResDAC Help Desk The Help Desk can be reached toll-free at (888)9-ResDAC   (888-973-7322),resdac@umn.edu,NA,USA,Insurance/claims data (prescription data),1,NA,0,1,0,0,NA,The Impact of COVID-19 on Postdischarge Outcomes for Dialysis Patients in the United States: Evidence from Medicare Claims Data.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," Dr. John D. Kalbfleisch, Kidney Epidemiology and Cost Center, University of Michigan, 1415 Washington Heights,
Suite 3645A SPH I, Ann Arbor, MI 48109. Email: jdkalbfl@umich.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
40,Mount Sinai Health System,NA,NA,NA,USA,Hospital data (electronic health record),3,https://labs.icahn.mssm.edu/msdw/ (not currently working),1,0,0,0,NA,Association of Reduced Hospitalizations and Mortality Rates Among COVID-19-Vaccinated Patients With Heart Failure.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anuradha Lala, MD, Mount Sinai Medical
Center: Mount Sinai Health System. 1 Gustave Levy Pl. New York,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Mout Sinai Health System Data Warehouse,NA,NA,NA,USA,Hospital data (electronic health record),1,https://labs.icahn.mssm.edu/msdw/data-sources/,1,0,0,0,NA,The association of hemoglobin drop with in-hospital outcomes in COVID-19 patients.,"Hospital factor and prognosis of COVID-19 in New York City, the United States of America: insights from a retrospective cohort study.",The association of statins use with survival of patients with COVID-19.,The association of anticoagulation before admission and survival of patients with COVID-19.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dr T. Kuno, MD, PhD, Division of Cardiology, Montefiore Medical Center, Albert Einsten College of Medicine, 111 East 210th St,
New York, 10467-2401, USA. email: tkuno@montefiore.org","Department of Cardiology, Montefiore Medical Center,
Albert Einstein Medical College, 111 East 210th St, Bronx, NY 10467–2401, USA.
E-mail address: kuno-toshiki@hotmail.co.jp","Department of Cardiology, Montefiore Medical Center,
Albert Einstein Medical College, 111 East 210th St, Bronx, NY 10467–2401, USA.
E-mail address: tkuno@montefiore.org (T. Kuno)","Department of Cardiology, Montefiore Medical Center,
Albert Einstein Medical College, 111 East 210th St, Bronx, NY 10467–2401, USA.
E-mail address: tkuno@montefiore.org (T. Kuno)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
42,National COVID Cohort Collaborative (N3C),https://covid.cd2h.org/ (found by Thale accidentally),NA,N3C Enclave Access Support - Only - N3C Support Desk - Jira Service Management,USA,Hospital data (electronic health record); Disease specific network (cohort study),1,"https://covid.cd2h.org/

Data dictionary: https://ncats.nih.gov/sites/default/files/OMOP_CDM_COVID.pdf",1,0,1,0,NA,Association of Early Aspirin Use With In-Hospital Mortality in Patients With Moderate COVID-19.,Metformin is associated with reduced COVID-19 severity in patients with prediabetes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jonathan H. Chow, MD, Department of Anesthesiology and Critical Care Medicine, George Washington University School of Medicine and Health Sciences, 2300 M St NW, Room 709, Washington, DC 20037 (jchow@mfa.gwu.edu).","Lawrence Berkeley National Laboratory, 717 Potter St., Berkeley, CA 94710, USA. E-mail address: justinreese@lbl.gov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,https://ncats.nih.gov/sites/default/files/OMOP_CDM_COVID.pdf
43,National Health Insurance Research Database (NHIRD),"Pau-Chung Chen
 Institute of Occupational Medicine and Industrial Hygiene, National 
Taiwan University College of Public Health, 17 Xu-Zhou Road, 
Taipei 10055, Taiwan",pchen@ntu.edu.tw,NA,Other: Taiwan,Insurance/claims data (prescription data),1,"https://nhird.nhri.edu.tw/date_01_en.html
https://www.dovepress.com/taiwans-national-health-insurance-research-database-past-and-future-peer-reviewed-fulltext-article-CLEP",0,1,0,0,NA,Angiotensin-converting enzyme inhibitor/angiotensin II receptor blockers and pneumonia risk among stroke patients.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Correspondence to Mei-Shu Lai, Graduate Institute of Epidemiology and Preventive Medicine, College of Public Health, National Taiwan University, 5Fl. No. 17, Hsu Chow Road, Taipei 100, Taiwan.Tel: +886 2 33668028; fax: +886 2 23511955; e-mail: mslai@ntu.edu.tw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
44,National Hospital Organization (NHO) Japan database,"For more information about applying to use the NHO database, please contact the Database planning division, Information technology department of the NHO by e-mail",700-dbproject@mail.hosp.go.jp,NA,Japan,Hospital data (electronic health record),1,https://pubmed.ncbi.nlm.nih.gov/35615723/,1,0,0,0,NA,Economic and clinical burden from carbapenem-resistant bacterial infections and factors contributing: a retrospective study using electronic medical records in Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Norihiko Inoue, I think... (doesn't say for sure) noricom.tmdu@gmail.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
45,New York-Presbyterian Columbia University Irving Medical Center (NYP-CUIMC),"Clinical Data Warehouse Navigator
622 West 168th Street, 10th Floor
New York, NY 10032
United States",irvinginst_bmir@cumc.columbia.edu,NA,USA,Hospital data (electronic health record),3,NA,1,0,0,0,NA,Observational Study of Hydroxychloroquine in Hospitalized Patients with Covid-19.,"Characteristics and outcomes of 627 044 COVID-19 patients living with and without obesity in the United States, Spain, and the United Kingdom.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dr. Schluger at the Division of Pulmonary, Allergy, and Critical Care Medicine, Columbia University Irving Medical Center, PH-8 E., Rm. 101, 622 W. 168th St., New York, NY 10032, or at ns311@cumc.columbia.edu.","Talita Duarte-Salles

Fundació Institut Universitari per a la recerca a l’Atenció Primària de Salut Jordi Gol i Gurina (IDIAPJGol), Barcelona, Spain
tduarte@idiapjgol.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
46,"Northwestern Medicine Electronic Data 
Warehouse (NMEDW)",Daniel Schneider (in charge of collecting together ALL datasets from NMEDW),d-schneider@northwestern.edu,NA,USA,Hospital data (electronic health record),1,https://www.feinberg.northwestern.edu/research/cores/units/edw.html,1,0,0,0,NA,Association of statin use with outcomes of patients admitted with COVID-19: an analysis of electronic health records using superlearner.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Babafemi Taiwo, b-taiwo@northwestern.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
47,Norwegian Patient Registry (NPR),NA,pasientregistre@fhi.no,https://helsedata.no/en/forvaltere/norwegian-institute-of-public-health/norwegian-patient-registry-npr/#nav-heading-3,NA,NA,3,NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
48,OnCovid,NA,NA,NA,Other: Europa wide,Disease specific network (cohort study),3,https://imperialbrc.nihr.ac.uk/research/infection/covid-19/covid-19-ongoing-studies/oncovid/,0,0,1,0,NA,Immune checkpoint inhibitor therapy and outcomes from SARS-CoV-2 infection in patients with cancer: a joint analysis of OnCovid and ESMO-CoCARE registries.,"Vaccination against SARS-CoV-2 protects from morbidity, mortality and sequelae from COVID19 in patients with cancer.",Pandemic Phase-Adjusted Analysis of COVID-19 Outcomes Reveals Reduced Intrinsic Vulnerability and Substantial Vaccine Protection From Severe Acute Respiratory Syndrome Coronavirus 2 in Patients With Breast Cancer.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dr Alessio Cortellini; alessiocortellini@gmail.com,"alessiocortellini@gmail.com, a.cortellini@imperial.ac.uk (A. Cortellini)","Alessio Cortellini, MD, PhD, Department of Surgery and Cancer, Imperial College London, Hammersmith Campus, London, United Kingdom; e-mail: alessiocortellini@gmail.com.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
49,Optum Claims Data,NA,NA,https://www.optum.com/en/business/insights/life-sciences/page.hub5.contact-life-sciences.html,NA,NA,3,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
50,PREDI-CO,NA,NA,NA,Other: Italy,Hospital data (electronic health record),3,https://clinicaltrials.gov/study/NCT04316949,1,0,0,0,NA,Efficacy of corticosteroid treatment for hospitalized patients with severe COVID-19: a multicentre study.,Exposure to psychotropic medications and COVID-19 course after hospital admission: Results from a prospective cohort study.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Michele Bartoletti, Infectious Diseases Unit, Sant’Orsola Malpighi Hospital, Via Massarenti 11, 40137, Bologna, Italy.
E-mail address: m.bartoletti@unibo.it (M. Bartoletti).","Giale Giacobazzi, 96, 41049 Sassuolo (MO), Italy. 
E-mail address: giuseppe.dandrea6@studio.unibo.it (G. D'Andrea).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
51,Patient Episode Database for Wales,NA,NA,Contact - SAIL Databank,Other: Wales,Hospital data (electronic health record),1,https://dhcw.nhs.wales/information-services/information-delivery/archived-pedw-data-online/,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,https://healthdatagateway.org/en/dataset/318
52,Premier Healthcare Database,NA,solutioncenter@premierinc.com,NA,USA,Insurance/claims data (prescription data),1,https://offers.premierinc.com/rs/381-NBB-525/images/PremierHealthcareDatabaseWhitepaper.pdf,0,1,0,0,NA,Dualtherapy for pseudomonas and outcomes in healthcare associated pneumonia,Oral versus intravenous fluoroquinolones for the initial treatment of community acquired pneumonia in hospitalized patients,Antimicrobial resistance or delayed appropriate therapy - Does one influence outcomes more than the other among patients with serious infections due to carbapenem-resistant versus carbapenem-susceptible enterobacteriaceae?,Impact of Delayed Appropriate Antibiotic Therapy on Patient Outcomes by Antibiotic Resistance Status From Serious Gram-negative Bacterial Infections,Noninvasive Ventilation Use in Critically Ill Patients with Acute Asthma Exacerbations.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Department of Medicine, Medicine Institute, Cleveland Clinic, 9500 Euclid Avenue, Cleveland, OH 44195, USA. Tel: +1-216-445-6600; E-mail: rothbem@ccf.org","R. K. Belforti, Baystate Medical Center, 759 Chestnut St, Springfield, MA 01199 (raquel.belforti@bhs.org)","Thomas P. Lodise, PharmD, PhD, Albany College of Pharmacy and Health Sciences, 106 New Scotland Ave., Albany, NY 12208 (thomas.lodise@acphs.edu)","Nicole G. Bonine, PhD, MPH, Global Health Outcomes Strategy & Research, Allergan plc, 2525 Dupont Drive (T2-2P), Irvine, CA 92612-1599. (E-mail: nicole.bonine@allergan.com).","Meghan D. Althoff, M.D., Ph.D., Division of Pulmonary Sciences and Critical Care Medicine, University of Colorado School of Medicine, 12700 East 19th Avenue, RM 9023, Mail Stop C272, Aurora, CO 80045. E-mail: meghan.althoff@cuanschutz.edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
53,Providence-Swedish healthcare system,Jane Rattray,HIMAffiliateAccess@Swedish.org,NA,USA,Insurance/claims data (prescription data),1,NA,0,1,0,0,NA,Comparing Initial Surgery versus Fibrinolytics for Pleural Space Infections: A Retrospective Multicenter Cohort Study.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jed A. Gorden, M.D., Division of Thoracic Surgery and Interventional
Pulmonology, Swedish Cancer Institute, 1101 Madison Street, Suite 900, Seattle, WA 98104. E-mail: jed.gorden@swedish.org.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
54,Qatar Cerner-system advanced,"Can't find direct information, but the hospital that ""owns"" the system is Hamad Medical Corporation. Their clinical trials unit mght be able to help us - CTU@hamad.qa",NA,NA,Other: Qatar,"Hospital data (electronic health record); National registries (e.g. death registry, cancer registry, etc.)",1,NA,1,0,0,1,NA,Long-term COVID-19 booster effectiveness by infection history and clinical vulnerability and immune imprinting: a retrospective population-based cohort study.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dr Hiam Chemaitelly, Infectious 
Disease Epidemiology Group, 
Weill Cornell Medicine-Qatar, 
Doha 24144, Qatar
hsc2001@qatar-med.cornell.
edu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
55,"REACTing (the network, not the database)",NA,NA,NA,France; Other: Luxembourg,Hospital data (electronic health record),2,https://www.iame-research.center/associated-organisations/reacting-2/,1,0,0,0,NA,Corticosteroids in patients hospitalized for COVID-19 pneumonia who require oxygen: observational comparative study using routine care data.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"François-Xavier Lescure, Service de Maladies Infectieuses et Tropicales, Hopital Bichat, Assistance Publique Hopitaux de Paris
E-mail address: xavier.lescure@aphp.fr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
56,Rhode Island Hospital,"Can't find any contact point, but ""Samara Viner Brown"" is listed on an information access form for RIH hospital discharge data access request.",Samara.VinerBrown@health.ri.gov,https://health.ri.gov/data/hospitalization/discharge//,USA,Hospital data (electronic health record),3,NA,1,0,0,0,NA,Hydroxychloroquine use in hospitalised patients with COVID-19: An observational matched cohort study.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cheston Cunha - ccunha@Lifespan.org, Eleftherios Mylonakis - emylonakis@lifespan.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
57,Rush University Hospital Data Warehouse,NA,NA,NA,USA,Hospital data (electronic health record),1,https://www.rushu.rush.edu/research/resources-researchers/data-management,1,0,0,0,NA,Evaluation of a fast-and-frugal clinical decision algorithm ('pathways') on clinical outcomes in hospitalised patients with COVID-19 treated with anticoagulants.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benjamin Djulbegovic, MD, PhD, Beckman Research Institute, 1500 E Duarte Rd, Duarte, CA 91010-3000, USA.

bdjulbegovic@coh.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
58,Swedish COVID-19 Investigation for Future Insights,Fredrik Nyberg (proj leader),fredrik.nyberg.2@gu.se,https://www.rushu.rush.edu/research-rush-university/resources-researchers/data-management,Other: Sweden,"National registries (e.g. death registry, cancer registry, etc.); Other: Outpatient",3,"https://www.gu.se/en/research/scifi-pearl

https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8331198/",0,0,0,1,Outpatient,Regular Inhaled Corticosteroids Use May Protect Against Severe COVID-19 Outcome in COPD.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marina Labor, Cancer and Lung Health Care Unit, University Hospital in Linköping, Linköping, Sweden, Tel +46739238935
Email marina.os21@gmail.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
59,System for Research in Primary Care (SIDIAP),NA,sidiap@idiapjgol.org,NA,Spain,Hospital data (electronic health record); Other: Outpatient data,3,NA,1,0,0,0,Outpatient data,"Characteristics and outcomes of 627 044 COVID-19 patients living with and without obesity in the United States, Spain, and the United Kingdom.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Talita Duarte-Salles

Fundació Institut Universitari per a la recerca a l’Atenció Primària de Salut Jordi Gol i Gurina (IDIAPJGol), Barcelona, Spain
tduarte@idiapjgol.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA
